bond_code,currency_type,tenor,issuance_volume,outstanding_volume,interest_payment_method,issuance_date,maturity_date,interest_payment_type,coupon_rate,first_trading_date,remaining_tenor,status,face_value
BVBS12096,VND,3 Năm,Ngân hàng Chính sách Xã hội,1.500.000,Định kỳ - Cuối kỳ,2/11/2012,2/11/2015,Standard Coupon,"10,9",6/11/2012,0 ngày,Hủy niêm yết,100000
BVBS12097,VND,3 Năm,Ngân hàng Chính sách Xã hội,10.000.000,Định kỳ - Cuối kỳ,7/12/2012,7/12/2015,Standard Coupon,"10,8",11/12/2012,0 ngày,Hủy niêm yết,100000
BVBS12100,VND,3 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,4/12/2012,4/12/2015,Standard Coupon,"10,9",6/12/2012,0 ngày,Hủy niêm yết,100000
BVBS12121,VND,5 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,16/11/2012,16/11/2017,Standard Coupon,"11,1",20/11/2012,7 ngày,Hủy niêm yết,100000
BVBS12123,VND,5 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,4/12/2012,4/12/2017,Standard Coupon,"11,1",6/12/2012,7 ngày,Hủy niêm yết,100000
BVBS12124,VND,5 Năm,Ngân hàng Chính sách Xã hội,9.000.000,Định kỳ - Cuối kỳ,7/12/2012,7/12/2017,Standard Coupon,11,11/12/2012,7 ngày,Hủy niêm yết,100000
BVBS12126,VND,5 Năm,Ngân hàng Chính sách Xã hội,8.000.000,Định kỳ - Cuối kỳ,25/12/2012,25/12/2017,Standard Coupon,11,27/12/2012,7 ngày,Hủy niêm yết,100000
BVBS12154,VND,2 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,26/10/2012,26/10/2014,Standard Coupon,"10,8",30/10/2012,0 ngày,Hủy niêm yết,100000
BVBS12155,VND,2 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,2/11/2012,2/11/2014,Standard Coupon,"10,8",6/11/2012,0 ngày,Hủy niêm yết,100000
BVBS12156,VND,2 Năm,Ngân hàng Chính sách Xã hội,4.000.000,Định kỳ - Cuối kỳ,7/12/2012,7/12/2014,Standard Coupon,"10,8",11/12/2012,0 ngày,Hủy niêm yết,100000
BVBS13077,VND,3 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,19/02/2013,19/02/2016,Standard Coupon,"9,9",21/02/2013,0 ngày,Hủy niêm yết,100000
BVBS13078,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,1/3/2013,1/3/2016,Standard Coupon,"9,7",5/3/2013,0 ngày,Hủy niêm yết,100000
BVBS13079,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.500.000,Định kỳ - Cuối kỳ,12/3/2013,12/3/2016,Standard Coupon,"9,8",14/03/2013,0 ngày,Hủy niêm yết,100000
BVBS13080,VND,3 Năm,Ngân hàng Chính sách Xã hội,4.500.000,Định kỳ - Cuối kỳ,19/03/2013,19/03/2016,Standard Coupon,"9,6",21/03/2013,0 ngày,Hủy niêm yết,100000
BVBS13082,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.500.000,Định kỳ - Cuối kỳ,4/4/2013,4/4/2016,Standard Coupon,9,8/4/2013,0 ngày,Hủy niêm yết,100000
BVBS13083,VND,3 Năm,Ngân hàng Chính sách Xã hội,4.300.000,Định kỳ - Cuối kỳ,12/4/2013,12/4/2016,Standard Coupon,9,16/04/2013,0 ngày,Hủy niêm yết,100000
BVBS13084,VND,3 Năm,Ngân hàng Chính sách Xã hội,1.200.000,Định kỳ - Cuối kỳ,22/04/2013,22/04/2016,Standard Coupon,9,24/04/2013,0 ngày,Hủy niêm yết,100000
BVBS13086,VND,3 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,10/5/2013,10/5/2016,Standard Coupon,9,14/05/2013,0 ngày,Hủy niêm yết,100000
BVBS13087,VND,3 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,20/05/2013,20/05/2016,Standard Coupon,"8,8",22/05/2013,0 ngày,Hủy niêm yết,100000
BVBS13088,VND,3 Năm,Ngân hàng Chính sách Xã hội,8.000.000,Định kỳ - Cuối kỳ,27/05/2013,27/05/2016,Standard Coupon,"8,3",29/05/2013,0 ngày,Hủy niêm yết,100000
BVBS13089,VND,3 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,3/6/2013,3/6/2016,Standard Coupon,"8,1",5/6/2013,0 ngày,Hủy niêm yết,100000
BVBS13090,VND,3 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,11/6/2013,11/6/2016,Standard Coupon,"7,5",13/06/2013,0 ngày,Hủy niêm yết,100000
BVBS13091,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,25/06/2013,25/06/2016,Standard Coupon,"7,6",27/06/2013,0 ngày,Hủy niêm yết,100000
BVBS13101,VND,5 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,4/4/2013,4/4/2018,Standard Coupon,"9,2",8/4/2013,7 ngày,Hủy niêm yết,100000
BVBS13102,VND,5 Năm,Ngân hàng Chính sách Xã hội,300,Định kỳ - Cuối kỳ,12/4/2013,12/4/2018,Standard Coupon,"9,2",16/04/2013,7 ngày,Hủy niêm yết,100000
BVBS13108,VND,5 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,3/6/2013,3/6/2018,Standard Coupon,"8,5",5/6/2013,6 ngày,Hủy niêm yết,100000
BVBS13165,VND,2 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,11/12/2013,11/12/2015,Standard Coupon,"8,2",13/12/2013,0 ngày,Hủy niêm yết,100000
BVBS13166,VND,2 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,18/12/2013,18/12/2015,Standard Coupon,"8,2",20/12/2013,0 ngày,Hủy niêm yết,100000
BVBS13167,VND,2 Năm,Ngân hàng Chính sách Xã hội,2.500.000,Định kỳ - Cuối kỳ,25/12/2013,25/12/2015,Standard Coupon,"8,1",27/12/2013,0 ngày,Hủy niêm yết,100000
BVBS13170,VND,3 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,8/7/2013,8/7/2016,Standard Coupon,8,10/7/2013,0 ngày,Hủy niêm yết,100000
BVBS13174,VND,3 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,20/08/2013,20/08/2016,Standard Coupon,8,22/08/2013,0 ngày,Hủy niêm yết,100000
BVBS13175,VND,3 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,27/08/2013,27/08/2016,Standard Coupon,"8,2",29/08/2013,5 ngày,Hủy niêm yết,100000
BVBS13186,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,18/12/2013,18/12/2016,Standard Coupon,"8,5",20/12/2013,6 ngày,Hủy niêm yết,100000
BVBS13210,VND,5 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,11/12/2013,11/12/2018,Standard Coupon,"9,4",13/12/2013,7 ngày,Hủy niêm yết,100000
BVBS14001,VND,2 Năm,Ngân hàng Chính sách Xã hội,2.300.000,Định kỳ - Cuối kỳ,22/01/2014,22/01/2016,Standard Coupon,"7,9",24/01/2014,0 ngày,Hủy niêm yết,100000
BVBS14011,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,22/01/2014,22/01/2017,Standard Coupon,"8,2",24/01/2014,6 ngày,Hủy niêm yết,100000
BVBS14012,VND,3 Năm,Ngân hàng Chính sách Xã hội,1.700.000,Định kỳ - Cuối kỳ,18/02/2014,18/02/2017,Standard Coupon,"7,8",20/02/2014,5 ngày,Hủy niêm yết,100000
BVBS14013,VND,3 Năm,Ngân hàng Chính sách Xã hội,3.500.000,Định kỳ - Cuối kỳ,25/02/2014,25/02/2017,Standard Coupon,"7,5",27/02/2014,5 ngày,Hủy niêm yết,100000
BVBS14015,VND,3 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,11/3/2014,11/3/2017,Standard Coupon,"7,3",13/03/2014,5 ngày,Hủy niêm yết,100000
BVBS14016,VND,3 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,1/4/2014,1/4/2017,Standard Coupon,"6,9",3/4/2014,5 ngày,Hủy niêm yết,100000
BVBS14017,VND,3 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,8/4/2014,8/4/2017,Standard Coupon,"6,9",11/4/2014,8 ngày,Hủy niêm yết,100000
BVBS14019,VND,3 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,24/04/2014,24/04/2017,Standard Coupon,"6,8",28/04/2014,7 ngày,Hủy niêm yết,100000
BVBS14023,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.500.000,Định kỳ - Cuối kỳ,22/07/2014,22/07/2017,Standard Coupon,"6,2",23/07/2014,5 ngày,Hủy niêm yết,100000
BVBS14024,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,19/08/2014,19/08/2017,Standard Coupon,6,20/08/2014,5 ngày,Hủy niêm yết,100000
BVBS14028,VND,3 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,24/12/2014,24/12/2017,Standard Coupon,"6,1",25/12/2014,6 ngày,Hủy niêm yết,100000
BVBS14036,VND,5 Năm,Ngân hàng Chính sách Xã hội,2.018.250,Định kỳ - Cuối kỳ,22/01/2014,22/01/2019,Standard Coupon,"9,2",24/01/2014,7 ngày,Hủy niêm yết,100000
BVBS14037,VND,5 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,18/02/2014,18/02/2019,Standard Coupon,9,20/02/2014,7 ngày,Hủy niêm yết,100000
BVBS14041,VND,5 Năm,Ngân hàng Chính sách Xã hội,4.500.000,Định kỳ - Cuối kỳ,1/4/2014,1/4/2019,Standard Coupon,"7,8",3/4/2014,7 ngày,Hủy niêm yết,100000
BVBS14042,VND,5 Năm,Ngân hàng Chính sách Xã hội,500,Định kỳ - Cuối kỳ,8/4/2014,8/4/2019,Standard Coupon,"7,8",11/4/2014,7 ngày,Hủy niêm yết,100000
BVBS14043,VND,5 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,16/04/2014,16/04/2019,Standard Coupon,"7,6",18/04/2014,8 ngày,Hủy niêm yết,100000
BVBS14046,VND,5 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,14/05/2014,14/05/2019,Standard Coupon,"7,6",15/05/2014,7 ngày,Hủy niêm yết,100000
BVBS14050,VND,5 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,4/9/2014,4/9/2019,Standard Coupon,"6,7",5/9/2014,8 ngày,Hủy niêm yết,100000
BVBS14052,VND,5 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,11/11/2014,11/11/2019,Standard Coupon,"5,5",12/11/2014,7 ngày,Hủy niêm yết,100000
BVBS14199,VND,15 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,24/12/2014,24/12/2029,Standard Coupon,"8,1",25/12/2014,2488 ngày,Bình thường,100000
BVBS15021,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.900.000,Định kỳ - Cuối kỳ,19/01/2015,19/01/2018,Standard Coupon,"5,5",20/01/2015,7 ngày,Hủy niêm yết,100000
BVBS15022,VND,3 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,28/01/2015,28/01/2018,Standard Coupon,"5,3",29/01/2015,6 ngày,Hủy niêm yết,100000
BVBS15023,VND,3 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,4/2/2015,4/2/2018,Standard Coupon,"5,2",5/2/2015,6 ngày,Hủy niêm yết,100000
BVBS15024,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.500.000,Định kỳ - Cuối kỳ,11/2/2015,11/2/2018,Standard Coupon,"5,1",12/2/2015,6 ngày,Hủy niêm yết,100000
BVBS15025,VND,3 Năm,Ngân hàng Chính sách Xã hội,4.000.000,Định kỳ - Cuối kỳ,4/3/2015,4/3/2018,Standard Coupon,5,5/3/2015,6 ngày,Hủy niêm yết,100000
BVBS15026,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,11/3/2015,11/3/2018,Standard Coupon,5,12/3/2015,6 ngày,Hủy niêm yết,100000
BVBS15027,VND,3 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,18/03/2015,18/03/2018,Standard Coupon,"4,8",19/03/2015,6 ngày,Hủy niêm yết,100000
BVBS15029,VND,3 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,27/05/2015,27/05/2018,Standard Coupon,6,28/05/2015,6 ngày,Hủy niêm yết,100000
BVBS15030,VND,3 Năm,Ngân hàng Chính sách Xã hội,4.000.000,Định kỳ - Cuối kỳ,3/6/2015,3/6/2018,Standard Coupon,"5,9",4/6/2015,6 ngày,Hủy niêm yết,100000
BVBS15031,VND,3 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,10/6/2015,10/6/2018,Standard Coupon,6,11/6/2015,6 ngày,Hủy niêm yết,100000
BVBS15035,VND,3 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,8/7/2015,8/7/2018,Standard Coupon,6,9/7/2015,6 ngày,Hủy niêm yết,100000
BVBS15036,VND,3 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,15/07/2015,15/07/2018,Standard Coupon,"5,9",16/07/2015,6 ngày,Hủy niêm yết,100000
BVBS15037,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,22/07/2015,22/07/2018,Standard Coupon,6,23/07/2015,6 ngày,Hủy niêm yết,100000
BVBS15039,VND,3 Năm,Ngân hàng Chính sách Xã hội,7.000.000,Định kỳ - Cuối kỳ,5/8/2015,5/8/2018,Standard Coupon,"6,2",6/8/2015,6 ngày,Hủy niêm yết,100000
