bond_code,currency_type,tenor,issuance_name,outstanding_volume,interest_payment_method,interest_payment_type,coupon_rate,remaining_tenor,status,face_value,duration,issuance_day,issuance_month,issuance_year,maturity_day,maturity_month,maturity_year
BVBS12096,VND,3 Năm,Ngân hàng Chính sách Xã hội,1500000,Định kỳ - Cuối kỳ,Standard Coupon,10.9,0 ngày,Hủy niêm yết,100000,3,2,11,2012,2,11,2015
BVBS12097,VND,3 Năm,Ngân hàng Chính sách Xã hội,10000000,Định kỳ - Cuối kỳ,Standard Coupon,10.8,0 ngày,Hủy niêm yết,100000,3,7,12,2012,7,12,2015
BVBS12100,VND,3 Năm,Ngân hàng Chính sách Xã hội,5000000,Định kỳ - Cuối kỳ,Standard Coupon,10.9,0 ngày,Hủy niêm yết,100000,3,4,12,2012,4,12,2015
BVBS12121,VND,5 Năm,Ngân hàng Chính sách Xã hội,5000000,Định kỳ - Cuối kỳ,Standard Coupon,11.1,7 ngày,Hủy niêm yết,100000,5.002739726,16,11,2012,16,11,2017
BVBS12123,VND,5 Năm,Ngân hàng Chính sách Xã hội,2000000,Định kỳ - Cuối kỳ,Standard Coupon,11.1,7 ngày,Hủy niêm yết,100000,5.002739726,4,12,2012,4,12,2017
BVBS12124,VND,5 Năm,Ngân hàng Chính sách Xã hội,9000000,Định kỳ - Cuối kỳ,Standard Coupon,11,7 ngày,Hủy niêm yết,100000,5.002739726,7,12,2012,7,12,2017
BVBS12126,VND,5 Năm,Ngân hàng Chính sách Xã hội,8000000,Định kỳ - Cuối kỳ,Standard Coupon,11,7 ngày,Hủy niêm yết,100000,5.002739726,25,12,2012,25,12,2017
BVBS12154,VND,2 Năm,Ngân hàng Chính sách Xã hội,3000000,Định kỳ - Cuối kỳ,Standard Coupon,10.8,0 ngày,Hủy niêm yết,100000,2,26,10,2012,26,10,2014
BVBS12155,VND,2 Năm,Ngân hàng Chính sách Xã hội,1000000,Định kỳ - Cuối kỳ,Standard Coupon,10.8,0 ngày,Hủy niêm yết,100000,2,2,11,2012,2,11,2014
BVBS12156,VND,2 Năm,Ngân hàng Chính sách Xã hội,4000000,Định kỳ - Cuối kỳ,Standard Coupon,10.8,0 ngày,Hủy niêm yết,100000,2,7,12,2012,7,12,2014
BVBS13077,VND,3 Năm,Ngân hàng Chính sách Xã hội,5000000,Định kỳ - Cuối kỳ,Standard Coupon,9.9,0 ngày,Hủy niêm yết,100000,3,19,2,2013,19,2,2016
BVBS13078,VND,3 Năm,Ngân hàng Chính sách Xã hội,2000000,Định kỳ - Cuối kỳ,Standard Coupon,9.7,0 ngày,Hủy niêm yết,100000,3.002739726,1,3,2013,1,3,2016
BVBS13079,VND,3 Năm,Ngân hàng Chính sách Xã hội,2500000,Định kỳ - Cuối kỳ,Standard Coupon,9.8,0 ngày,Hủy niêm yết,100000,3.002739726,12,3,2013,12,3,2016
BVBS13080,VND,3 Năm,Ngân hàng Chính sách Xã hội,4500000,Định kỳ - Cuối kỳ,Standard Coupon,9.6,0 ngày,Hủy niêm yết,100000,3.002739726,19,3,2013,19,3,2016
